method	mult	rmse	A	B	T
mle_a_b_t	7	0.0320144906273451	0.89228753459731047	0.50713905261402636	0.23843247492455924
mle_a_t	7	-1.0	-1.0	-1.0	-1.0
huk	7	-1.0	-1.0	-1.0	-1.0
mle_t	7	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	7	0.027130188139180347	0.90232348389123307	0.51616638868828657	0.27449534863918545
mle_a_t	7	-1.0	-1.0	-1.0	-1.0
huk	7	-1.0	-1.0	-1.0	-1.0
mle_t	7	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	7	0.03384238349705691	0.8936030906216178	0.48086641276347131	0.23362827262085181
mle_a_t	7	-1.0	-1.0	-1.0	-1.0
huk	7	-1.0	-1.0	-1.0	-1.0
mle_t	7	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	7	0.04513931063377848	0.88810203315776981	0.4691472886683663	0.20663406424717551
mle_a_t	7	-1.0	-1.0	-1.0	-1.0
huk	7	-1.0	-1.0	-1.0	-1.0
mle_t	7	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	7	0.05792833691841188	0.89128810401124203	0.5145779656474655	0.23316513110595591
mle_a_t	7	-1.0	-1.0	-1.0	-1.0
huk	7	-1.0	-1.0	-1.0	-1.0
mle_t	7	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	7	0.05619399418426181	0.87598286758286603	0.48856924270886903	0.21600187198098286
mle_a_t	7	-1.0	-1.0	-1.0	-1.0
huk	7	-1.0	-1.0	-1.0	-1.0
mle_t	7	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	7	0.04660073404273492	0.91013295203189015	0.48060652624145056	0.24687460523306401
mle_a_t	7	-1.0	-1.0	-1.0	-1.0
huk	7	-1.0	-1.0	-1.0	-1.0
mle_t	7	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	7	0.07384487727310717	0.87883513494562626	0.44671222151092532	0.18714086612690728
mle_a_t	7	-1.0	-1.0	-1.0	-1.0
huk	7	-1.0	-1.0	-1.0	-1.0
mle_t	8	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	8	0.0485187677246905	0.89817218637353446	0.48214156967909461	0.24849126060904231
mle_a_t	8	-1.0	-1.0	-1.0	-1.0
huk	8	-1.0	-1.0	-1.0	-1.0
mle_t	8	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	8	0.0724340746231569	0.87967087954571044	0.47385692727559831	0.22448921600258018
mle_a_t	8	-1.0	-1.0	-1.0	-1.0
huk	8	-1.0	-1.0	-1.0	-1.0
mle_t	8	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	8	0.0595454937814687	0.87579186339338644	0.4761652751073347	0.1969573570048315
mle_a_t	8	-1.0	-1.0	-1.0	-1.0
huk	8	-1.0	-1.0	-1.0	-1.0
mle_t	8	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	8	0.023574986496406953	0.89796122889344521	0.50087205777105093	0.23854704735224086
mle_a_t	8	-1.0	-1.0	-1.0	-1.0
huk	8	-1.0	-1.0	-1.0	-1.0
mle_t	8	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	8	0.03278965320520248	0.9056725046099704	0.51302894228813878	0.283063632958791
mle_a_t	8	-1.0	-1.0	-1.0	-1.0
huk	8	-1.0	-1.0	-1.0	-1.0
mle_t	8	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	8	0.08050147244311025	0.89492105647174314	0.4855956724456118	0.2023290360430586
mle_a_t	8	-1.0	-1.0	-1.0	-1.0
huk	8	-1.0	-1.0	-1.0	-1.0
mle_t	8	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	8	0.026724500540991715	0.89108929507361612	0.48432560840467892	0.22936270884305451
mle_a_t	8	-1.0	-1.0	-1.0	-1.0
huk	8	-1.0	-1.0	-1.0	-1.0
mle_t	8	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	8	0.07151155649904267	0.89597835664049985	0.53765252049150225	0.27051170997377105
mle_a_t	8	-1.0	-1.0	-1.0	-1.0
huk	8	-1.0	-1.0	-1.0	-1.0
mle_t	8	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	8	0.08591931673119178	0.90140804249701867	0.49719605561094299	0.21498801725693772
mle_a_t	8	-1.0	-1.0	-1.0	-1.0
huk	8	-1.0	-1.0	-1.0	-1.0
mle_t	8	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	8	0.050823418355217066	0.89654190579471627	0.5033009312087714	0.22804796677205905
mle_a_t	8	-1.0	-1.0	-1.0	-1.0
huk	8	-1.0	-1.0	-1.0	-1.0
mle_t	9	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	9	0.053409202939663156	0.92183383199392577	0.50863944473796541	0.30312633356785534
mle_a_t	9	-1.0	-1.0	-1.0	-1.0
huk	9	-1.0	-1.0	-1.0	-1.0
mle_t	9	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	9	0.026733563343504848	0.88866571954743012	0.48747769490619164	0.22687340021783958
mle_a_t	9	-1.0	-1.0	-1.0	-1.0
huk	9	-1.0	-1.0	-1.0	-1.0
mle_t	9	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	9	0.05498350291231848	0.88568481195237159	0.51771077345223437	0.24099974609179162
mle_a_t	9	-1.0	-1.0	-1.0	-1.0
huk	9	-1.0	-1.0	-1.0	-1.0
mle_t	9	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	9	0.042760038377963376	0.89156549489447234	0.47414590926503331	0.22672179007141452
mle_a_t	9	-1.0	-1.0	-1.0	-1.0
huk	9	-1.0	-1.0	-1.0	-1.0
mle_t	9	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	9	0.025392630847229473	0.89340634996643886	0.50761436957781214	0.24450648109122816
mle_a_t	9	-1.0	-1.0	-1.0	-1.0
huk	9	-1.0	-1.0	-1.0	-1.0
mle_t	9	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	9	0.03319563813216372	0.90613269510033023	0.51390895691243887	0.25999950592180787
mle_a_t	9	-1.0	-1.0	-1.0	-1.0
huk	9	-1.0	-1.0	-1.0	-1.0
mle_t	9	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	9	0.0321713530838063	0.90265853756446734	0.4931067941054067	0.23524070493246976
mle_a_t	9	-1.0	-1.0	-1.0	-1.0
huk	9	-1.0	-1.0	-1.0	-1.0
mle_t	9	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	9	0.052697038628354516	0.88823374864832871	0.46575088683905647	0.20060122104736253
mle_a_t	9	-1.0	-1.0	-1.0	-1.0
huk	9	-1.0	-1.0	-1.0	-1.0
mle_t	9	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	9	0.03197439748648887	0.91305358028369277	0.49986932648989985	0.26233960936043271
mle_a_t	9	-1.0	-1.0	-1.0	-1.0
huk	9	-1.0	-1.0	-1.0	-1.0
mle_t	9	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	9	0.02703321505562684	0.90050343080219042	0.49955461604439477	0.26213333007315209
mle_a_t	9	-1.0	-1.0	-1.0	-1.0
huk	9	-1.0	-1.0	-1.0	-1.0
mle_t	10	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	10	0.04964218251317697	0.92086384276996291	0.49776278990315165	0.27757396675775797
mle_a_t	10	-1.0	-1.0	-1.0	-1.0
huk	10	-1.0	-1.0	-1.0	-1.0
mle_t	10	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	10	0.0343798626779751	0.91013330122225844	0.49730578604427378	0.27070725170903021
mle_a_t	10	-1.0	-1.0	-1.0	-1.0
huk	10	-1.0	-1.0	-1.0	-1.0
mle_t	10	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	10	0.04549552035579165	0.90376496664748773	0.48802032007552049	0.26009410140398259
mle_a_t	10	-1.0	-1.0	-1.0	-1.0
huk	10	-1.0	-1.0	-1.0	-1.0
mle_t	10	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	10	0.05698258032351489	0.90158555217539005	0.51438056170822499	0.24256191459560031
mle_a_t	10	-1.0	-1.0	-1.0	-1.0
huk	10	-1.0	-1.0	-1.0	-1.0
mle_t	10	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	10	0.09141016355880992	0.88808143409049822	0.46440884148784606	0.23556042984238229
mle_a_t	10	-1.0	-1.0	-1.0	-1.0
huk	10	-1.0	-1.0	-1.0	-1.0
mle_t	10	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	10	0.03221401554801596	0.89366137787188249	0.47707538592794979	0.22417509293899029
mle_a_t	10	-1.0	-1.0	-1.0	-1.0
huk	10	-1.0	-1.0	-1.0	-1.0
mle_t	10	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	10	0.06355476138803876	0.88170725527292881	0.48913730795994764	0.201152050631318
mle_a_t	10	-1.0	-1.0	-1.0	-1.0
huk	10	-1.0	-1.0	-1.0	-1.0
mle_t	10	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	10	0.02561372483691357	0.89916030998859608	0.50897703260672322	0.24840174682910043
mle_a_t	10	-1.0	-1.0	-1.0	-1.0
huk	10	-1.0	-1.0	-1.0	-1.0
mle_t	10	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	10	0.04181699421947118	0.88914187315487891	0.49327758884893885	0.21744419361301584
mle_a_t	10	-1.0	-1.0	-1.0	-1.0
huk	10	-1.0	-1.0	-1.0	-1.0
mle_t	10	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	10	0.03552068777470131	0.89220624720726061	0.50753301426214714	0.23672357301749683
mle_a_t	10	-1.0	-1.0	-1.0	-1.0
huk	10	-1.0	-1.0	-1.0	-1.0
