index,session_index,trial_index,coherence,duration,duration_index,direction,response,correct
2065,9,119.0,0.25,3.8774058577405857,7.0,0.0,2.0,True
2066,9,204.0,0.25,3.901255230125523,7.0,3.1415926535897931,1.0,True
2067,9,72.0,0.25,4.1635983263598328,7.0,0.0,2.0,True
2068,9,35.0,0.25,4.1874476987447702,7.0,3.1415926535897931,1.0,True
2069,9,193.0,0.25,4.44979079497908,8.0,0.0,2.0,True
2070,9,45.0,0.25,4.4736401673640165,8.0,3.1415926535897931,1.0,True
2071,9,141.0,0.25,4.7359832635983263,8.0,0.0,2.0,True
2072,9,113.0,0.25,4.7598326359832637,8.0,3.1415926535897931,1.0,True
2073,9,150.0,0.25,5.0221757322175735,9.0,0.0,2.0,True
2074,9,38.0,0.25,5.04602510460251,9.0,3.1415926535897931,1.0,True
2075,9,3.0,0.25,5.3083682008368198,9.0,0.0,2.0,True
2076,9,151.0,0.25,5.3322175732217572,9.0,3.1415926535897931,1.0,True
2077,9,42.0,0.25,5.594560669456067,10.0,0.0,2.0,True
2078,9,142.0,0.25,5.6184100418410043,10.0,3.1415926535897931,1.0,True
2079,9,21.0,0.25,5.8807531380753133,10.0,0.0,2.0,True
2080,9,66.0,0.25,5.9046025104602506,10.0,3.1415926535897931,1.0,True
2081,9,61.0,0.5,0.49079497907949787,1.0,0.0,2.0,True
2082,9,62.0,0.5,0.51464435146443521,1.0,3.1415926535897931,1.0,True
2083,9,95.0,0.5,0.77698744769874484,1.0,0.0,2.0,True
2084,9,240.0,0.5,0.80083682008368196,1.0,3.1415926535897931,1.0,True
2085,9,183.0,0.5,1.0631799163179916,2.0,0.0,2.0,True
2086,9,238.0,0.5,1.0870292887029289,2.0,3.1415926535897931,1.0,True
2087,9,47.0,0.5,1.3493723849372385,2.0,0.0,2.0,True
2088,9,128.0,0.5,1.3732217573221759,2.0,3.1415926535897931,1.0,True
2089,9,207.0,0.5,1.6355648535564853,3.0,0.0,2.0,True
2090,9,136.0,0.5,1.6594142259414228,3.0,3.1415926535897931,1.0,True
2091,9,148.0,0.5,1.9217573221757323,3.0,0.0,2.0,True
2092,9,161.0,0.5,1.9456066945606696,3.0,3.1415926535897931,1.0,True
2093,9,134.0,0.5,2.207949790794979,4.0,0.0,2.0,True
2094,9,175.0,0.5,2.2317991631799163,4.0,3.1415926535897931,1.0,True
2095,9,32.0,0.5,2.4941422594142257,4.0,0.0,2.0,True
2096,9,22.0,0.5,2.5179916317991631,4.0,3.1415926535897931,1.0,True
2097,9,145.0,0.5,2.7803347280334729,5.0,0.0,2.0,True
2098,9,176.0,0.5,2.8041841004184098,5.0,3.1415926535897931,1.0,True
2099,9,146.0,0.5,3.0665271966527197,5.0,0.0,2.0,True
2100,9,138.0,0.5,3.0903765690376566,5.0,3.1415926535897931,1.0,True
2101,9,130.0,0.5,3.3527196652719664,6.0,0.0,2.0,True
2102,9,205.0,0.5,3.3765690376569037,6.0,3.1415926535897931,1.0,True
2103,9,218.0,0.5,3.6389121338912132,6.0,0.0,2.0,True
2104,9,177.0,0.5,3.6627615062761505,6.0,3.1415926535897931,1.0,True
2105,9,67.0,0.5,3.9251046025104599,7.0,0.0,2.0,True
2106,9,131.0,0.5,3.9489539748953972,7.0,3.1415926535897931,1.0,True
2107,9,186.0,0.5,4.2112970711297075,7.0,0.0,2.0,True
2108,9,190.0,0.5,4.235146443514644,7.0,3.1415926535897931,1.0,True
2109,9,143.0,0.5,4.4974895397489538,8.0,0.0,2.0,True
2110,9,198.0,0.5,4.5213389121338912,8.0,3.1415926535897931,1.0,True
