,b0,b1,b2,bi,dotmode,m0,m1,m2,x0,x1,subj
21,6.229759527841412,-1.4152296436159961,22.364440133248294,21,2d,-1.7276974064749522,-0.1832178446157373,-3.1034678271521257,4.9498804428026,8.143025587010527,ALL
22,11.521191827716704,-0.5274045517322369,3.8778506517880937,22,2d,-3.034078868311898,-0.324670479890448,-0.8499043934429771,4.446947322381108,8.38722462700511,ALL
23,10.175066778036571,-1.0762976722026307,7.041600193734578,23,2d,-2.664611669283139,-0.24444248871830243,-1.2206548723657336,4.648999146991252,8.315708653627457,ALL
24,8.177944951304356,-0.887173547582859,7.53425133015886,24,2d,-2.2068615776118077,-0.2728216599329612,-1.2892000329138646,4.687141359882508,8.28571830282609,ALL
25,15.642295045458827,-0.4550241498913043,13.95344584823088,25,2d,-4.075140384153751,-0.33568418869029776,-2.0746443415244067,4.304721883442063,8.28568137420927,ALL
26,6.838507856395009,-1.0915111335844325,3.5285822208450583,26,2d,-1.8854950280349632,-0.24637050646305247,-0.7957584732218418,4.837960031293696,8.409526808534535,ALL
27,9.223709675089548,-0.7496308254362938,4.801558609672242,27,2d,-2.4481135189342127,-0.29293251803932363,-0.9505813050085172,4.627611554609933,8.44096264682911,ALL
28,6.929189333425496,-1.2744997568859766,3.7171695570235586,28,2d,-1.907660835540519,-0.21079853273799695,-0.8016544694910956,4.834622747799188,8.448200319929287,ALL
29,5.335549762155125,-1.444718870630339,9.320273040747765,29,2d,-1.5212605299876938,-0.19016896961865082,-1.5286927468819687,5.093765752015304,8.042436604160526,ALL
30,6.526064963148397,-1.3623722791624555,16.742849965412983,30,2d,-1.8169856357100043,-0.1955075502219788,-2.4511701649341266,4.864966916449898,8.026564846410361,ALL
31,6.002593992501757,-1.3148023111224354,6.684216929418859,31,2d,-1.6887002025104634,-0.21346860699355988,-1.2290870746995213,4.960167805199472,7.876008068347308,ALL
32,6.183502445986415,-1.242511740369755,6.542250081161226,32,2d,-1.7313432016884902,-0.21531630215432343,-1.2037310583025422,4.898339369810591,7.8760076323263375,ALL
33,6.778930557834489,-1.295158811867195,6.308792480977862,33,2d,-1.8564845886744965,-0.2121009941565226,-1.1775574431066442,4.910101166942568,7.876017100853488,ALL
34,6.21127488896942,-0.9222479023977701,-3.12810316089915,34,2d,-1.7451945979480996,-0.2728591442720017,0.0001000000000000095,4.845038965444649,8.081265289555125,ALL
35,6.9889419833059625,-0.11705871083368431,-3.134210901111093,35,2d,-1.9248679318409376,-0.4039447668712167,9.99999999999999e-05,4.672162475389802,7.467371038219069,ALL
36,6.978203470334018,-1.1701584374995837,27.42672829855648,36,2d,-1.9047337876796406,-0.22891992468349678,-3.6799439271053607,4.862331144037013,8.286493224091176,ALL
37,5.610414488968066,-1.1476783989978276,12.994925614897644,37,2d,-1.6136083036262583,-0.23972484781225822,-1.9428349760387744,4.9189708897094615,8.303987149195555,ALL
38,6.061253274123924,-1.1840386276807229,5.094936405159953,38,2d,-1.6964833676960025,-0.22822954095977332,-1.0254602110044708,4.934631706085084,7.875982793834652,ALL
39,9.58761120817591,0.6188377956705535,-3.356742049313845,39,2d,-2.590426604493544,-0.5322935168909932,9.999999999999755e-05,4.357722545407586,7.467370880469398,ALL
40,6.370979175899034,-1.1946939896616835,13.983595317688813,40,2d,-1.7983700043285662,-0.22763568023048428,-2.0557392250716684,4.816647253392799,8.302751422335467,ALL
41,5.983794571607959,-1.0309297277866276,3.7269189896785972,41,2d,-1.679022606788132,-0.2584179156957979,-0.8215985730740699,4.937843435974162,8.448174954394744,ALL
42,12.699543043178709,-0.21847126869279768,-3.3246963711564215,42,2d,-3.3401873284996735,-0.3747904804406293,0.00010000000000000734,4.3562514286112135,8.285686792620037,ALL
43,6.158035912138235,-0.5518051862566946,3.412092586323961,43,2d,-1.726490570524979,-0.33510332111072466,-0.8043035794461451,4.822410811419337,8.448200319929287,ALL
44,8.106937678668269,0.10456534830144183,-3.213703241669178,44,2d,-2.244154079298987,-0.44426905520294546,0.00010000000010259155,4.446046390932674,7.467370986159773,ALL
45,11.01163818403629,-1.1305878033709356,6.058372372481386,45,2d,-2.8565422227613175,-0.22149905559879923,-1.1342663160244018,4.607979926527603,7.876005732825109,ALL
46,5.802970459285251,-1.0291719828547874,3.7790567978025913,46,2d,-1.6426470574125798,-0.25252372568115716,-0.8375897435898306,4.914774333404705,8.218267056713433,ALL
47,10.950443569491625,0.020369884984909034,35.58413902907989,47,2d,-2.9496323387799004,-0.42018293800394185,-4.693713028618275,4.321127622662639,8.321871718921317,ALL
48,6.865437893228444,-1.5501087708049945,11.958777819841353,48,2d,-1.880642453745849,-0.1670453968425227,-1.850019427218809,4.911041733623183,8.02679444345142,ALL
49,7.179853873073699,-0.9418060850157625,16.92051253182583,49,2d,-1.9571659146560556,-0.2661426099659515,-2.4197982065547,4.802808022505608,8.293953287060342,ALL
50,13.277426045065189,-0.36190315166243303,21.43628661739838,50,2d,-3.5151227310353623,-0.3565768560296238,-2.9865768665353802,4.318230322351262,8.288284983656961,ALL
51,5.931238095189842,-0.7386938354039432,3.8874515130942946,51,2d,-1.6777911346385492,-0.29833861079919255,-0.8857075664640239,4.835201964223765,7.8760469825511645,ALL
52,6.384231465674592,-0.6914716405437513,4.947646600551675,52,2d,-1.7780249255588845,-0.310001013347495,-0.9880999581158044,4.819882682636075,8.316069944835503,ALL
53,8.520969853997357,-0.9068857946066726,6.400925795036667,53,2d,-2.2951713699243057,-0.2686561361323471,-1.1496537378898506,4.65225012232495,8.294928080962215,ALL
54,6.225046811478353,-0.7233985980955963,4.4207138278596325,54,2d,-1.7401303010627305,-0.30368883452796464,-0.9161654527413138,4.837262971788488,8.398871256447928,ALL
55,6.809211609212037,-1.5418380066764255,-1.0122509289763348,55,2d,-1.878276740078044,-0.1529605692693426,-0.2589127711730334,4.840301065243846,4.998358529830709,ALL
56,6.403508657892267,-1.0189350507351267,3.9259340426326395,56,2d,-1.7878659666484897,-0.2552681291953351,-0.842402636305385,4.843047241351644,8.42203794378472,ALL
57,6.0511409143570845,-1.1319630750616856,-1.1261648948840552,57,2d,-1.7031968506731099,-0.2365792194738293,-0.23774296787690988,4.897734642880468,4.982328959042979,ALL
58,7.052732528706966,-0.963521986636162,5.058095174640348,58,2d,-1.9251699846357102,-0.2706091313483423,-0.9904561378708228,4.844943826043495,8.365134569305951,ALL
59,6.119487356221432,-1.027444986581238,3.653387939504868,59,2d,-1.720487748132549,-0.2534997952128566,-0.8478153764247722,4.871841232226869,7.876005735108526,ALL
60,6.481576328272361,-1.4569063995655007,11.561263042915423,60,2d,-1.8043174765403553,-0.18173592251704454,-1.7513694878746426,4.892501506832139,8.2937635348188,ALL
61,14.464999460874166,-0.6583738777736544,14.415152446185449,61,2d,-3.7717789825002974,-0.3042161476477056,-2.1818138089306185,4.361384078212304,8.028091781087623,ALL
62,8.725121969385514,-1.2824239690788826,23.272976698874857,62,2d,-2.3461694616288997,-0.20150249617643817,-3.2569475959673624,4.666247041739717,8.036603702159157,ALL
63,15.073746197463915,0.00863113334989221,-3.096028797244866,63,2d,-3.9384781737858248,-0.4156643848747544,0.00010000000000006016,4.276443757369604,7.467354211965729,ALL
64,8.020144197190406,-0.6895465807844195,25.24008708897619,64,2d,-2.2083008547805796,-0.2960313856963698,-3.4201224645274704,4.554635671653115,8.29989683212462,ALL
65,13.619187491845766,0.2923286897895032,-2.0846370564988677,65,2d,-3.573598865478391,-0.47721656692820796,-0.1029231867262884,4.304009473971737,6.350541522542814,ALL
66,9.715082027343373,-1.0565743734650983,4.170384227882112,66,2d,-2.5658422368208997,-0.24555599535721023,-0.8722195356627801,4.642382582993543,8.340933092268294,ALL
67,6.916432761304793,-1.0436558934473972,4.400534167604616,67,2d,-1.8934960279929234,-0.2529689982596606,-0.8973890942433033,4.852153236319778,8.448200319929287,ALL
68,5.121697060031116,-1.3868594704477641,2.972997760912433,68,2d,-1.4799359779687091,-0.20357008026068743,-0.7196394283178621,5.099286770108003,8.448200319929287,ALL
69,6.88205167185594,-0.8248007956870246,3.653908629447267,69,2d,-1.8967929831436967,-0.28771819850662383,-0.8358897889488233,4.789617326128044,8.170269290340793,ALL
70,9.916598107789758,0.09624996140724018,-3.111748217652941,70,2d,-2.6819758761186714,-0.43683212124000315,0.00010000000000000024,4.374039711987715,7.342097321572693,ALL
71,6.092422421686856,-1.0129307041292257,7.336718550431116,71,2d,-1.717826941578672,-0.25654998649451627,-1.2757145302328001,4.862427413923745,8.192641035817227,ALL
72,5.5356908932117515,-1.2291324606886052,51.85339062512141,72,2d,-1.5755800993978566,-0.22627511566400826,-6.6269515286475595,5.0135611356989696,8.29326771006771,ALL
73,7.3272115211649735,-1.3601973786801977,33.756923318504725,73,2d,-1.9983731314321516,-0.20250321993712414,-4.434835204464858,4.837437719186308,8.29734547677718,ALL
74,6.1832485386537215,-1.062839720283717,10.883548951406137,74,2d,-1.7355619890205465,-0.24582336220577972,-1.6875739524300184,4.863999655705715,8.286030060806228,ALL
75,5.5999583303945375,-0.9637961071711879,70.76561689742185,75,2d,-1.6109770555933203,-0.26734031850959583,-8.92236416147182,4.885066256706002,8.28760432854772,ALL
76,6.934625832315916,-1.2261286714661432,39.331830501864104,76,2d,-1.8946847134927842,-0.22590433076455907,-5.119357891698005,4.89025072247729,8.288207637381674,ALL
77,6.356123449163796,-1.4451987298105757,17.25775071670989,77,2d,-1.7797588548033652,-0.17869945540002094,-2.4963592764076195,4.872600079744542,8.069756460861008,ALL
78,14.177229105360489,0.5871201923505057,-1.699304024516436,78,2d,-3.710319548912614,-0.5325917051088065,-0.17310404063415097,4.276674900767109,6.3602299407885114,ALL
79,6.852991061283115,-1.1238609451065162,2.276382823218496,79,2d,-1.9016435700879786,-0.24669388150688226,-0.678782884355791,4.819996435148052,7.869313708169067,ALL
80,6.480433703411127,-1.2985828284771443,5.528092643884614,80,2d,-1.797627127505414,-0.2120315977999577,-1.0358331208567761,4.906053516228321,8.286796380071388,ALL
81,6.493546001514587,-1.476406115413823,7.784153634956473,81,2d,-1.805357405818245,-0.17325606434672358,-1.349046609285697,4.883245828035672,7.876028422100614,ALL
82,6.727401278203383,-1.1112966428321822,5.110246012250022,82,2d,-1.8642076935728529,-0.23378960300024734,-0.9702236859408381,4.807784259811068,8.448200319929287,ALL
83,5.901786957087382,-0.7106819718048072,3.8029847465711892,83,2d,-1.6738747826454166,-0.3070532120532065,-0.8413287438171341,4.837843533001431,8.448200319929287,ALL
