,subj,dotmode,di,dur,bi,thresh,loc,scale,lapse
37,ALL,2d,3,50.0,16,0.5349331902162995,0.36022835114347157,0.14861896047890696,0.17283553578745428
38,ALL,2d,3,50.0,17,0.5451615194212687,0.3920660900089526,0.17002219087548914,0.14840268502170695
39,ALL,2d,3,50.0,18,0.5356193682302652,0.406526038722854,0.11486989179544313,0.16874122938427746
40,ALL,2d,3,50.0,19,0.46426438816196514,0.3061099472612541,0.12576614455262425,0.17891097419832205
41,ALL,2d,3,50.0,20,0.5521306796564361,0.4084595410652164,0.1350239793063588,0.16373540478416074
42,ALL,2d,5,66.66666666666667,0,0.27902911790782836,0.25822099122040904,0.1262831789583515,0.03797856545649052
43,ALL,2d,5,66.66666666666667,1,0.27674845433315803,0.2587030796513908,0.11190130837312248,0.03723263166784011
44,ALL,2d,5,66.66666666666667,2,0.26261722854098524,0.23742105253017876,0.10901376953800686,0.0515906070330039
45,ALL,2d,5,66.66666666666667,3,0.3190638261469197,0.3068976978286738,0.1350592142990355,0.021535471922892062
46,ALL,2d,5,66.66666666666667,4,0.28665679857293064,0.2778444751255488,0.14049297958785764,0.015199405388192066
47,ALL,2d,5,66.66666666666667,5,0.2810881330040685,0.2614704282357763,0.1179350018332146,0.038311139961519865
48,ALL,2d,5,66.66666666666667,6,0.2583245607879517,0.2391259673683786,0.10231394023814369,0.04277255609844549
49,ALL,2d,5,66.66666666666667,7,0.24335464805503645,0.23608879816797407,0.11993223394977962,0.014696079672451333
50,ALL,2d,5,66.66666666666667,8,0.2609580024563631,0.2400105124218328,0.110221137203074,0.04327048367762699
51,ALL,2d,5,66.66666666666667,9,0.27581350296562657,0.2656136849196271,0.09204014438976721,0.026224864873677853
52,ALL,2d,5,66.66666666666667,10,0.3224107521831948,0.2952463451002757,0.12131507969779193,0.05015446253272066
53,ALL,2d,5,66.66666666666667,11,0.2945161050749569,0.2767649350964654,0.13942741809274317,0.029885878571542544
54,ALL,2d,5,66.66666666666667,12,0.26398998756782416,0.24806434223547827,0.09771784439617347,0.03759706599750329
55,ALL,2d,5,66.66666666666667,13,0.26786091802503764,0.2519194383145434,0.1043442207860305,0.03541989353259301
56,ALL,2d,5,66.66666666666667,14,0.2813312595408429,0.25578647413228806,0.10844676258807376,0.05246623529507739
