A,i,K,N,TND,S,thresh,T,cohs
0,2.4166666666666665,0,0,0,17,0.06971834630778391,0,0
0,3.25,0,0,0,17,0.04049686244781374,0,0
0,4.416666666666667,0,0,0,17,0.0358893766629136,0,0
0,0.03333333333333333,0,0,0,18,1.6974749462184358,0,0
0,0.05,0,0,0,18,0.5593667629140747,0,0
0,0.06666666666666667,0,0,0,18,0.2751991033488881,0,0
0,0.08333333333333333,0,0,0,18,0.1817129585030672,0,0
0,0.11666666666666667,0,0,0,18,0.15450507233487337,0,0
0,0.15,0,0,0,18,0.1079592575257569,0,0
0,0.2,0,0,0,18,0.09219507729721853,0,0
0,0.26666666666666666,0,0,0,18,0.0944662142160482,0,0
0,0.35,0,0,0,18,0.0821549885105922,0,0
0,0.45,0,0,0,18,0.07428594431244402,0,0
0,0.6,0,0,0,18,0.07006023486480195,0,0
0,0.8,0,0,0,18,0.0571666906308342,0,0
0,1.0666666666666667,0,0,0,18,0.05099668565768015,0,0
0,1.4166666666666667,0,0,0,18,0.07065382271406011,0,0
0,1.9166666666666667,0,0,0,18,0.04746090462819553,0,0
0,2.533333333333333,0,0,0,18,0.06799683052508015,0,0
0,3.3666666666666667,0,0,0,18,0.038770881564020726,0,0
0,4.516666666666667,0,0,0,18,0.03627091225926706,0,0
0,0.03333333333333333,0,0,0,19,1.6974749462184358,0,0
0,0.05,0,0,0,19,0.5593667629140747,0,0
0,0.06666666666666667,0,0,0,19,0.2751991033488881,0,0
0,0.08333333333333333,0,0,0,19,0.17344531376229233,0,0
0,0.1,0,0,0,19,0.16250022108135326,0,0
0,0.13333333333333333,0,0,0,19,0.1326419027214113,0,0
0,0.18333333333333332,0,0,0,19,0.09348573922290697,0,0
0,0.23333333333333334,0,0,0,19,0.08587769492007938,0,0
0,0.3,0,0,0,19,0.089145891970018,0,0
0,0.4,0,0,0,19,0.08372805520358215,0,0
0,0.5166666666666667,0,0,0,19,0.06853310070641014,0,0
0,0.6833333333333333,0,0,0,19,0.06346766204994088,0,0
0,0.9,0,0,0,19,0.05405425821430736,0,0
0,1.1666666666666667,0,0,0,19,0.05891643156575563,0,0
0,1.5333333333333334,0,0,0,19,0.053870596288590054,0,0
0,2.0166666666666666,0,0,0,19,0.05035147791990225,0,0
0,2.65,0,0,0,19,0.06690357932810737,0,0
0,3.466666666666667,0,0,0,19,0.0394958140842559,0,0
0,4.566666666666666,0,0,0,19,0.0362516168129589,0,0
0,0.03333333333333333,0,0,0,20,1.6974749462184358,0,0
0,0.05,0,0,0,20,0.5593667629140747,0,0
0,0.06666666666666667,0,0,0,20,0.2751991033488881,0,0
0,0.08333333333333333,0,0,0,20,0.17344531376229233,0,0
0,0.1,0,0,0,20,0.16250022108135326,0,0
0,0.13333333333333333,0,0,0,20,0.1467618108346782,0,0
0,0.16666666666666666,0,0,0,20,0.0976046360101267,0,0
0,0.21666666666666667,0,0,0,20,0.08970731263528699,0,0
0,0.26666666666666666,0,0,0,20,0.0944662142160482,0,0
0,0.35,0,0,0,20,0.0821549885105922,0,0
0,0.45,0,0,0,20,0.07657837619882402,0,0
0,0.5833333333333334,0,0,0,20,0.0703944431287816,0,0
0,0.7666666666666667,0,0,0,20,0.056286525295583555,0,0
0,0.9833333333333333,0,0,0,20,0.05496712206416282,0,0
0,1.2666666666666666,0,0,0,20,0.06111306554526737,0,0
0,1.65,0,0,0,20,0.03571102548285013,0,0
0,2.1333333333333333,0,0,0,20,0.06479951481937651,0,0
0,2.75,0,0,0,20,0.0581056280430927,0,0
0,3.566666666666667,0,0,0,20,0.038867822941160014,0,0
0,4.616666666666666,0,0,0,20,0.03752124287403659,0,0
0,0.03333333333333333,0,0,0,21,1.6974749462184358,0,0
0,0.05,0,0,0,21,0.5593667629140747,0,0
0,0.06666666666666667,0,0,0,21,0.2751991033488881,0,0
0,0.08333333333333333,0,0,0,21,0.17344531376229233,0,0
0,0.1,0,0,0,21,0.18174151419529855,0,0
0,0.11666666666666667,0,0,0,21,0.15450507233487337,0,0
0,0.15,0,0,0,21,0.1079592575257569,0,0
