,subj,dotmode,di,dur,x,y,ntrials
40,ALL,2d,9,0.26666666666666666,0.03,0.6318147871545929,1339.0
41,ALL,2d,9,0.26666666666666666,0.06,0.6869118905047049,1169.0
42,ALL,2d,9,0.26666666666666666,0.12,0.8093525179856115,1390.0
43,ALL,2d,9,0.26666666666666666,0.25,0.9528957528957529,1295.0
44,ALL,2d,9,0.26666666666666666,0.5,0.9962178517397882,1322.0
45,ALL,2d,10,0.35,0.03,0.6509207365892714,1249.0
46,ALL,2d,10,0.35,0.06,0.72646404744255,1349.0
47,ALL,2d,10,0.35,0.12,0.8238172920065253,1226.0
48,ALL,2d,10,0.35,0.25,0.975,1120.0
49,ALL,2d,10,0.35,0.5,0.991889699918897,1233.0
50,ALL,2d,11,0.45,0.03,0.6468561584840654,1161.0
51,ALL,2d,11,0.45,0.06,0.7539130434782608,1150.0
52,ALL,2d,11,0.45,0.12,0.903954802259887,1416.0
53,ALL,2d,11,0.45,0.25,0.9561338289962825,1345.0
54,ALL,2d,11,0.45,0.5,0.9976076555023924,1254.0
55,ALL,2d,12,0.5833333333333334,0.03,0.6269230769230769,1300.0
56,ALL,2d,12,0.5833333333333334,0.06,0.7819494584837545,1385.0
57,ALL,2d,12,0.5833333333333334,0.12,0.8959459459459459,1480.0
58,ALL,2d,12,0.5833333333333334,0.25,0.9789177793394237,1423.0
59,ALL,2d,12,0.5833333333333334,0.5,0.9930340557275542,1292.0
60,ALL,2d,13,0.7666666666666667,0.03,0.6674025018395879,1359.0
61,ALL,2d,13,0.7666666666666667,0.06,0.8143086816720257,1244.0
62,ALL,2d,13,0.7666666666666667,0.12,0.9129332206255283,1183.0
63,ALL,2d,13,0.7666666666666667,0.25,0.9800332778702163,1202.0
64,ALL,2d,13,0.7666666666666667,0.5,0.9959871589085072,1246.0
65,ALL,2d,14,0.9833333333333333,0.03,0.6604046242774566,692.0
66,ALL,2d,14,0.9833333333333333,0.06,0.8408163265306122,735.0
67,ALL,2d,14,0.9833333333333333,0.12,0.9397116644823067,763.0
68,ALL,2d,14,0.9833333333333333,0.25,0.9771949828962372,877.0
69,ALL,2d,14,0.9833333333333333,0.5,0.995049504950495,1010.0
70,ALL,2d,15,1.2666666666666666,0.03,0.73224043715847,183.0
71,ALL,2d,15,1.2666666666666666,0.06,0.7142857142857143,210.0
72,ALL,2d,15,1.2666666666666666,0.12,0.9551724137931035,290.0
73,ALL,2d,15,1.2666666666666666,0.25,0.962457337883959,293.0
74,ALL,2d,15,1.2666666666666666,0.5,0.98828125,256.0
75,ALL,2d,16,1.65,0.03,0.6616541353383458,133.0
76,ALL,2d,16,1.65,0.06,0.8193548387096774,155.0
77,ALL,2d,16,1.65,0.12,0.9752066115702479,121.0
78,ALL,2d,16,1.65,0.25,1.0,86.0
79,ALL,2d,16,1.65,0.5,1.0,126.0
80,ALL,2d,17,2.1333333333333333,0.03,0.5094339622641509,159.0
81,ALL,2d,17,2.1333333333333333,0.06,0.7948717948717948,156.0
82,ALL,2d,17,2.1333333333333333,0.12,0.933649289099526,211.0
83,ALL,2d,17,2.1333333333333333,0.25,1.0,179.0
84,ALL,2d,17,2.1333333333333333,0.5,1.0,151.0
85,ALL,2d,18,2.75,0.03,0.4975609756097561,205.0
86,ALL,2d,18,2.75,0.06,0.7562189054726368,201.0
87,ALL,2d,18,2.75,0.12,0.912621359223301,206.0
88,ALL,2d,18,2.75,0.25,1.0,227.0
